# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushingTimeUs,1717447555269000000,1717447615295000000,16861648
Indexes.stubs.lookupDurationMaxMs,1717447555269000000,1717447615295000000,0.0
Indexes.entries.lookupDuration90PMs,1717447555269000000,1717447615295000000,183.0
Indexes.allKeys.lookupDurationAvgMs,1717447555269000000,1717447615295000000,6.0
Indexes.entries.lookups,1717447555269000000,1717447615295000000,12.0
Indexes.allKeys.lookupDuration90PMs,1717447555269000000,1717447615295000000,6.0
IndexesFlusher.totalFlushesRetried,1717447555269000000,1717447615295000000,28
Indexes.entries.lookupDurationMaxMs,1717447555269000000,1717447615295000000,539.0
IndexesFlusher.totalContentionQuotaSpent,1717447555269000000,1717447615295000000,1218
Indexes.allKeys.lookups,1717447555269000000,1717447615295000000,1.0
Indexes.stubs.lookupDuration90PMs,1717447555269000000,1717447615295000000,0.0
Indexes.stubs.lookups,1717447555269000000,1717447615295000000,0.0
IndexesFlusher.totalFlushes,1717447555269000000,1717447615295000000,76
Indexes.stubs.lookupDurationAvgMs,1717447555269000000,1717447615295000000,0.0
Indexes.entries.lookupDurationAvgMs,1717447555269000000,1717447615295000000,65.75
Indexes.allKeys.lookupDurationMaxMs,1717447555269000000,1717447615295000000,6.0
lexer.HTML.time.ns,1717447555269000000,1717447615295000000,161730463
lexer.yaml.time.ns,1717447555269000000,1717447615295000000,457903
writeAction.wait.ms,1717447555269000000,1717447615295000000,1838
writeAction.count,1717447555269000000,1717447615295000000,15
parser.ECMAScript.6.size.bytes,1717447555269000000,1717447615295000000,3443652
parser.CSS.time.ns,1717447555269000000,1717447615295000000,69177304
parser.JavaScript.time.ns,1717447555269000000,1717447615295000000,5191395854
parser.EditorConfig.time.ns,1717447555269000000,1717447615295000000,32281819
lexer.CSS.size.bytes,1717447555269000000,1717447615295000000,33113
parser.HTML.time.ns,1717447555269000000,1717447615295000000,144889820
parser.HTML.size.bytes,1717447555269000000,1717447615295000000,237383
parser.Flow.JS.time.ns,1717447555269000000,1717447615295000000,279705185
writeAction.max.wait.ms,1717447555269000000,1717447615295000000,1305
parser.CSS.size.bytes,1717447555269000000,1717447615295000000,33113
parser.TypeScript.time.ns,1717447555269000000,1717447615295000000,2397227860
parser.JSON.time.ns,1717447555269000000,1717447615295000000,5017420
lexer.EditorConfig.time.ns,1717447555269000000,1717447615295000000,909286
lexer.JSON.size.bytes,1717447555269000000,1717447615295000000,355
parser.EditorConfig.size.bytes,1717447555269000000,1717447615295000000,274
lexer.TypeScript.size.bytes,1717447555269000000,1717447615295000000,2555521
parser.ECMAScript.6.time.ns,1717447555269000000,1717447615295000000,1989047071
writeAction.median.wait.ms,1717447555269000000,1717447615295000000,1700
lexer.ECMAScript.6.time.ns,1717447555269000000,1717447615295000000,774370625
lexer.EditorConfig.size.bytes,1717447555269000000,1717447615295000000,274
parser.yaml.size.bytes,1717447555269000000,1717447615295000000,102
lexer.Flow.JS.size.bytes,1717447555269000000,1717447615295000000,140172
parser.SCSS.size.bytes,1717447555269000000,1717447615295000000,128330
parser.TypeScript.size.bytes,1717447555269000000,1717447615295000000,2555521
lexer.SCSS.size.bytes,1717447555269000000,1717447615295000000,128330
lexer.TypeScript.time.ns,1717447555269000000,1717447615295000000,286946752
lexer.Flow.JS.time.ns,1717447555269000000,1717447615295000000,52603934
parser.SCSS.time.ns,1717447555269000000,1717447615295000000,86855505
parser.Flow.JS.size.bytes,1717447555269000000,1717447615295000000,140172
